T1, T2, T3, T4, T5, T6, T7
23.2494, 3.33549, 8.0253, -14.8029, 0.168905, 1.58461, 0.0262998
22.9918, 4.27261, 7.89686, -14.5917, 0.15877, 1.55461, 0.0267165
22.7539, 5.11002, 7.77731, -14.3553, 0.148446, 1.52308, 0.0271282
22.5771, 5.68012, 7.69387, -13.9389, 0.13607, 1.47748, 0.0275313
22.3598, 6.31399, 7.58825, -13.6054, 0.124827, 1.43964, 0.0279399
22.12, 6.94294, 7.46856, -13.2254, 0.111968, 1.39752, 0.0283518
21.7935, 7.56018, 7.29703, -12.9172, 0.0982158, 1.36485, 0.028777
21.6109, 8.46471, 7.20346, -12.716, 0.0900451, 1.33616, 0.0291596
21.6194, 8.97861, 7.21694, -12.3851, 0.083074, 1.30165, 0.0294792
21.5373, 9.5697, 7.18136, -12.0232, 0.0740929, 1.26093, 0.0298327
21.2395, 10.1424, 7.02276, -11.6721, 0.0604027, 1.22319, 0.0302508
20.891, 10.4896, 6.83455, -11.1886, 0.0424193, 1.17795, 0.0306835
20.5929, 11.0725, 6.67194, -10.8519, 0.0286186, 1.14341, 0.031089
20.4249, 11.7523, 6.58149, -10.5981, 0.0195797, 1.11447, 0.0314478
20.2572, 12.1708, 6.49336, -10.1917, 0.00752782, 1.07521, 0.0318126
20.0266, 12.4252, 6.36771, -9.70347, -0.00799643, 1.03057, 0.0321984
19.8406, 12.9177, 6.26522, -9.34284, -0.0197562, 0.994333, 0.0325578
19.6582, 13.215, 6.16471, -8.90545, -0.0332633, 0.95503, 0.0329143
19.4087, 13.7282, 6.02444, -8.5797, -0.0456545, 0.923371, 0.0332902
19.197, 14.3594, 5.9038, -8.35518, -0.05487, 0.89818, 0.0336514
18.9568, 14.8024, 5.76771, -8.02715, -0.066825, 0.865648, 0.0340256
18.7537, 14.9691, 5.65204, -7.54712, -0.0817334, 0.823896, 0.0343844
18.544, 15.2408, 5.53081, -7.16125, -0.0948042, 0.790109, 0.0347337
18.5382, 15.5338, 5.52668, -6.77811, -0.103228, 0.756346, 0.0350044
18.6016, 15.4895, 5.56346, -6.25462, -0.113483, 0.715829, 0.0352505
18.3939, 15.7001, 5.44114, -5.86161, -0.126643, 0.681973, 0.0356024
17.9908, 16.0213, 5.2026, -5.5456, -0.142645, 0.65389, 0.0360218
17.7502, 16.1058, 5.0605, -5.08855, -0.158098, 0.617319, 0.0363691
17.6643, 15.9474, 5.01014, -4.53496, -0.172176, 0.57575, 0.0366557
17.5846, 15.8908, 4.96185, -4.08884, -0.183637, 0.542454, 0.0369407
17.3091, 16.0467, 4.7956, -3.74433, -0.197418, 0.515097, 0.0372967
17.0355, 15.9946, 4.63157, -3.2715, -0.214059, 0.479384, 0.0376518
16.9769, 15.9533, 4.59284, -2.82779, -0.225064, 0.445755, 0.0379219
16.9838, 15.9607, 4.58912, -2.4831, -0.232714, 0.4205, 0.0381626
16.8077, 15.8814, 4.47948, -2.11301, -0.245012, 0.395461, 0.038466
16.571, 15.7198, 4.33489, -1.64605, -0.260727, 0.361982, 0.0387973
16.3894, 15.51, 4.22219, -1.15298, -0.275794, 0.326265, 0.0391048
16.337, 15.3619, 4.18453, -0.725714, -0.286405, 0.295933, 0.0393575
16.3742, 14.9506, 4.20119, -0.269431, -0.295888, 0.268659, 0.0395632
16.2571, 14.4239, 4.12832, 0.264895, -0.310554, 0.23596, 0.0398293
16.0799, 13.9342, 4.01797, 0.784461, -0.326357, 0.202956, 0.040121
