ee_x, ee_y, ee_z,time_us
0.626543, 0.180961, 0.409674,1645479804403659
0.625288, 0.182864, 0.408719,1645479804408658
0.624056, 0.184743, 0.407757,1645479804413658
0.62286, 0.186598, 0.406769,1645479804418658
0.621672, 0.188452, 0.405744,1645479804423658
0.620494, 0.190305, 0.404694,1645479804428658
0.619332, 0.192137, 0.403652,1645479804433658
0.618208, 0.193964, 0.402621,1645479804438657
0.617099, 0.19579, 0.401576,1645479804443657
0.616006, 0.197606, 0.400517,1645479804448657
0.614923, 0.199412, 0.39945,1645479804453657
0.613858, 0.201209, 0.398375,1645479804458657
0.612813, 0.203002, 0.397307,1645479804463657
0.611783, 0.204789, 0.396236,1645479804468657
0.610778, 0.206569, 0.395162,1645479804473657
0.609805, 0.208322, 0.394103,1645479804478657
0.608851, 0.210074, 0.393043,1645479804483656
0.607906, 0.211833, 0.391985,1645479804488656
0.606978, 0.213584, 0.390933,1645479804493656
0.606085, 0.21531, 0.389901,1645479804498656
0.605218, 0.217024, 0.388874,1645479804503655
0.604366, 0.218735, 0.387855,1645479804508655
0.603538, 0.220459, 0.386864,1645479804513655
0.602727, 0.222167, 0.385883,1645479804518655
0.601941, 0.223856, 0.384906,1645479804523655
0.601178, 0.225542, 0.383954,1645479804528654
0.600434, 0.227245, 0.383016,1645479804533654
0.599711, 0.228934, 0.382092,1645479804538654
0.599017, 0.230612, 0.381189,1645479804543654
0.598347, 0.232289, 0.380306,1645479804548654
0.597699, 0.233966, 0.379445,1645479804553654
0.597067, 0.235651, 0.378604,1645479804558654
0.596454, 0.23733, 0.377775,1645479804563654
0.595862, 0.238993, 0.376971,1645479804568653
0.595301, 0.240634, 0.376176,1645479804573653
0.594753, 0.242293, 0.375408,1645479804578653
0.594218, 0.243956, 0.37464,1645479804583653
0.593706, 0.245608, 0.373889,1645479804588652
0.593223, 0.247245, 0.373163,1645479804593652
0.592754, 0.248871, 0.372442,1645479804598652
0.592308, 0.250494, 0.371742,1645479804603652
0.591876, 0.252119, 0.371048,1645479804608652
0.591453, 0.25373, 0.370366,1645479804613652
0.591061, 0.255331, 0.369703,1645479804618651
0.590683, 0.256926, 0.369067,1645479804623651
0.590312, 0.258531, 0.368431,1645479804628650
0.58995, 0.26014, 0.367814,1645479804633651
0.589605, 0.261732, 0.367196,1645479804638651
0.589273, 0.263311, 0.36658,1645479804643651
0.588943, 0.264896, 0.365969,1645479804648650
0.588636, 0.26647, 0.365374,1645479804653650
